,fb_id,avg_align,l2,l1,n,r1,r2,side,fan_count,link,name
88,154672041747,-0.9407,0.8874,0.1046,0.006,0.002,0.0,left,145229,https://www.facebook.com/rightwingwatch/,Right Wing Watch
116,64639136366,-0.8565,0.799,0.1909,0.0091,0.0007,0.0003,left,244679,https://www.facebook.com/Truthdig/,Truthdig
78,346937065399354,-0.899,0.9928,0.0072,0.0,0.0,0.0,left,7301777,https://www.facebook.com/OccupyDemocrats/,Occupy Democrats
122,223649167822693,-0.6591,0.5967,0.3334,0.0494,0.0198,0.0007,left,2106784,https://www.facebook.com/Vox/,Vox
64,7642602143,-0.8663,0.9397,0.052000000000000005,0.008,0.0002,0.0,left,1564027,https://www.facebook.com/motherjones/,Mother Jones
82,186473214703370,-0.9037,0.9940000000000001,0.0055,0.0001,0.0005,0.0,left,655096,https://www.facebook.com/PoliticusUSA/,PoliticusUSA
109,7629206115,-0.9463,0.8956,0.1011,0.003,0.0001,0.0002,left,631404,https://www.facebook.com/TheNationMagazine/,The Nation Magazine
34,32844167451,-0.8074,0.6126,0.3827,0.0043,0.0005,0.0,left,373386,https://www.facebook.com/electronicintifada/,The Electronic Intifada
100,9924394837,-0.4745,0.5919,0.2405,0.1056,0.0421,0.0199,left,279168,https://www.facebook.com/tampabaycom/,Tampa Bay Times
60,123136324375898,-0.8568,0.9732,0.0268,0.0,0.0,0.0,left,841695,https://www.facebook.com/MadameNoire/,Madame Noire
96,21516776437,-0.6813,0.6183,0.3083,0.0606,0.0112,0.0016,left,1538389,https://www.facebook.com/Slate/,Slate.com
110,358168880614,-0.9643,0.9869,0.0072,0.0059,0.0,0.0,left,391811,https://www.facebook.com/The-New-Civil-Rights-Movement-358168880614/,The New Civil Rights Movement
105,360781383974396,-0.8928,0.9458,0.0542,0.0,0.0,0.0,left,153074,https://www.facebook.com/TheEverlastingGopStoppers/,The Everlasting GOP Stoppers
94,9124187907,-0.8528,0.8903,0.1097,0.0,0.0,0.0,left,7501440,https://www.facebook.com/senatorsanders/,U.S. Senator Bernie Sanders
8,17108852506,-0.8804,0.8854,0.1049,0.0082,0.0014,0.0001,left,959998,https://www.facebook.com/AlterNetNews/,AlterNet
54,162245191716,-0.8501,0.9272,0.0724,0.0004,0.0,0.0,left,1671312,https://www.facebook.com/lgbtqnation/,LGBTQ Nation
16,27479046178,-0.7779,0.6098,0.35600000000000004,0.0319,0.0012,0.0011,left,779623,https://www.facebook.com/boingboing/,Boing Boing
90,10664530778,-0.6487,0.5395,0.4189,0.0364,0.0052,0.0001,left,5228248,https://www.facebook.com/RollingStone/,Rolling Stone
120,354522044588660,-0.8097,0.6771,0.3165,0.0064,0.0,0.0,left,11596243,https://www.facebook.com/Upworthy/,Upworthy
71,161419311535,-0.6695,0.7501,0.1501,0.0946,0.0041,0.0011,left,165725,https://www.facebook.com/newrepublic/,The New Republic
40,8732630162,-0.8729,0.9076,0.0917,0.0007,0.0,0.0,left,279514,https://www.facebook.com/globalgrind/,Global Grind
3,18982436812,-0.7686,0.7872,0.1607,0.0485,0.0018,0.0018,left,2294464,https://www.facebook.com/aclu/,ACLU
43,22898109808,-0.8452,0.8697,0.1254,0.0049,0.0,0.0,left,283988,https://www.facebook.com/grist.org/,Grist.org
98,124155874263916,-0.7045,0.6588,0.3134,0.0267,0.001,0.0,left,669899,https://www.facebook.com/ParticipantMedia/,Participant Media
74,122177661170978,-0.7794,0.7554,0.2393,0.0049,0.0003,0.0001,left,637971,https://www.facebook.com/NewsOneOfficial/,NewsOne
118,210277954204,-0.7785,0.5193,0.4767,0.0036,0.0004,0.0,left,1981015,https://www.facebook.com/TheYoungTurks/,The Young Turks
5,6030918854,-0.9276,0.9609,0.035,0.0025,0.0005,0.001,left,470937,https://www.facebook.com/TheAdvocate/,The Advocate magazine
113,200137333331078,-0.8615,0.9498,0.0485,0.0014,0.0002,0.0,left,1778984,https://www.facebook.com/thinkprogress/,ThinkProgress
30,17414523278,-0.934,0.9555,0.0401,0.0039,0.0,0.0004,left,1234866,https://www.facebook.com/democracynow/,Democracy Now!
52,139398939438430,-0.8878,0.9979,0.0021,0.0,0.0,0.0,left,1425042,https://www.facebook.com/LeftAction/,Left Action
