,fb_id,avg_align,l2,l1,n,r1,r2,side,fan_count,link,name
46,103971336305218,0.9247,0.0,0.0,0.0031,0.1276,0.8694,right,811498,https://www.facebook.com/hotaircom/,Hot Air
126,119984188013847,0.9013,0.0,0.0,0.0003,0.264,0.7357,right,872831,https://www.facebook.com/WNDNews/,WND
125,123624513983,0.8991,0.0,0.0,0.0001,0.21899999999999997,0.7808,right,5322601,https://www.facebook.com/WesternJournal/,The Western Journal
7,158924294183807,0.9423,0.0,0.0,0.0,0.0255,0.9745,right,929958,https://www.facebook.com/AllenWestRepublic/,Allen West Republic
102,396523657071573,0.8525,0.0007,0.0005,0.0161,0.3096,0.6731,right,178628,https://www.facebook.com/OBAMAAGAINSTCHRISTIANS/,Christians Against Electing Leftists
27,182919686769,0.8697,0.0006,0.0058,0.0087,0.1828,0.8021,right,5276273,https://www.facebook.com/DailyCaller/,The Daily Caller
29,300341323465160,0.9319,0.0,0.0,0.0006,0.0347,0.9647,right,808789,https://www.facebook.com/TheDailySignalNews/,The Daily Signal
6,22067606728,0.8918,0.0,0.0,0.0,0.4003,0.5997,right,2774964,https://www.facebook.com/AllenWestFans/,Allen West Fans
25,519305544814653,0.8866,0.0,0.0,0.0001,0.1305,0.8693,right,4325881,https://www.facebook.com/theconservativetribune/,Conservative Tribune
106,107705785934333,0.8659,0.0,0.0067,0.0002,0.3221,0.6709999999999999,right,2368641,https://www.facebook.com/TheFederalistPapers/,The Federalist Papers
24,221573484697614,0.8962,0.0,0.0,0.0001,0.1449,0.855,right,1635126,https://www.facebook.com/heyconservativepost/,Conservative Post
57,118436878597,0.9664,0.0,0.0,0.0096,0.0989,0.8915,right,989195,https://www.facebook.com/LifeNews/,LifeNews.com
73,6333396177,0.9168,0.0001,0.0,0.0003,0.0306,0.9690000000000001,right,2846864,https://www.facebook.com/newsbusters/,NewsBusters.org
121,271042954725,0.9419,0.0,0.0,0.0,0.0673,0.9327,right,1310037,https://www.facebook.com/IngrahamRadio/,Laura Ingraham
20,228702593913193,0.9218,0.0,0.0,0.0022,0.2291,0.7687,right,1254847,https://www.facebook.com/ClashDaily/,ClashDaily.com with Doug Giles
69,15779440092,0.9009,0.0005,0.0033,0.0033,0.1678,0.825,right,1076355,https://www.facebook.com/nationalreview/,National Review
39,36400348187,0.9690000000000001,0.0,0.0,0.0,0.008,0.992,right,3173425,https://www.facebook.com/GlennBeck/,Glenn Beck
65,201956993160690,0.8636,0.0,0.0001,0.0003,0.2275,0.7722,right,3364527,https://www.facebook.com/mrctv/,MRCTV
127,147772245840,0.9782,0.0,0.0,0.0,0.0872,0.9128,right,1015741,https://www.facebook.com/TheYoungCons/,Young Conservatives
80,215148520550,0.8892,0.0012,0.0,0.0005,0.2774,0.7209,right,271206,https://www.facebook.com/patriotupdate/,Patriot Update
103,140738092630206,0.8887,0.0,0.0004,0.0043,0.3091,0.6862,right,2027889,https://www.facebook.com/theblaze/,TheBlaze
61,513813158657249,0.8609,0.0,0.0019,0.0268,0.4473,0.524,right,1897890,https://www.facebook.com/MadWorldNewsCorp/,Mad World News
49,406726216017535,0.8901,0.0,0.0,0.0002,0.2207,0.7792,right,498616,https://www.facebook.com/theijr/,IJR
37,282024895179874,0.8778,0.0002,0.0005,0.0015,0.1789,0.8190000000000001,right,750081,https://www.facebook.com/FreeBeacon/,Washington Free Beacon
9,179035672287016,0.8651,0.0,0.0,0.0,0.4532,0.5468,right,5531792,https://www.facebook.com/ThePatriotReview/,American News
79,193266897438,0.8632,0.0,0.0,0.0003,0.3702,0.6294,right,1386580,https://www.facebook.com/pamelageller/,Pamela Geller
114,41632789656,0.9263,0.0002,0.0004,0.0009,0.1307,0.8678,right,1309330,https://www.facebook.com/townhallcom/,Townhall.com
124,11643473298,0.9074,0.0004,0.0,0.0231,0.0985,0.8781,right,285784,https://www.facebook.com/weeklystandard/,The Weekly Standard
72,18107421115,0.8955,0.0,0.0015,0.0097,0.2219,0.7668,right,549732,https://www.facebook.com/investorsbusinessdaily/,Investor's Business Daily
21,19420215926,0.8979,0.0,0.0,0.0007,0.1352,0.8640000000000001,right,2248092,https://www.facebook.com/cnsnewscom/,CNSNews.com
